Topic_Code,Topic_Categories,Question,Response
AASKK04,Decision Tree,What is Information Gain?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,How Information Gain and Entropy are related?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,How to determine most important feature with Information Gain?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,What is dummification of data?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Random Forest,What is Voting Process?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What types of Voting Process are available?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is BootStrap Sampling?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Max Features paramter in Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Num of Trees parameter in Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Max Depth parameter in Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Seed?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Grid Search?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,What is Random Search?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Is Bagging concepts used in Random Forest algorithm?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Boosting,What is Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,Are the dataset constant in Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,Can Boosting be done with different algorithms?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is a Bag in Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is AdaBoosing?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is Gradient Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Boosting,What is Extreme Gradient (XG) Boosting?,https://en.wikipedia.org/wiki/Boost
AASKK04,Bagging,What is Bagging?,https://en.wikipedia.org/wiki/Bagging
AASKK04,Bagging,What is Bagging Classifier algorithm?,https://en.wikipedia.org/wiki/Bagging
AASKK04,Bagging,What are the demerits of Bagging?,https://en.wikipedia.org/wiki/Bagging
AASKK04,Random Forest,More information on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Can you provide me more details on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,I need more details on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Where can I find more information on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Random Forest,Can I get more info on Random Forest?,https://en.wikipedia.org/wiki/Random_forest
AASKK04,Decision Tree,Unable to understand Decision Tree,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,I need more details to understand Decision Tree?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,Can I get more info on Decision Tree?,https://en.wikipedia.org/wiki/Decision_tree
AASKK04,Decision Tree,I still have more questions on Decision Tree?,https://en.wikipedia.org/wiki/Decision_tree
