Topic_Code,Sub_Topic_Code,Topic_Name,Question
AASKK02,S0015,Hypothesis Formulation and Tests,What are Null and Alternate Hypothesis
AASKK02,S0015,Hypothesis Formulation and Tests,How Hypothesis testing is done
AASKK02,S0015,Hypothesis Formulation and Tests,What are Type l errors
AASKK02,S0015,Hypothesis Formulation and Tests,What are Type ll errors
AASKK02,S0015,Hypothesis Formulation and Tests,What is one tailed Hypothesis test
AASKK02,S0015,Hypothesis Formulation and Tests,What is two tailed Hypothesis test
AASKK02,S0015,Hypothesis Formulation and Tests,When one tailed Hypothesis test is done
AASKK02,S0015,Hypothesis Formulation and Tests,When two tailed Hypothesis test is done
AASKK02,S0016,Concepts of sampling distribution and Central Limit Theorem,What is sampling distribution
AASKK02,S0016,Concepts of sampling distribution and Central Limit Theorem,When we need to check for sampling distribution
AASKK02,S0016,Concepts of sampling distribution and Central Limit Theorem,Whats is Central Limit Theorem
AASKK02,S0016,Concepts of sampling distribution and Central Limit Theorem,What are the different types of Central Limit Theorem
AASKK02,S0017,Confidence Intervals and tests,What is Confidence Intervals
AASKK02,S0017,Confidence Intervals and tests,How to calcuate Confidence Intervals
AASKK02,S0017,Confidence Intervals and tests,When to calcuate Confidence Intervals
AASKK02,S0017,Confidence Intervals and tests,What is Single sample z - test of mean
AASKK02,S0017,Confidence Intervals and tests,What is the significance of Single sample z - test of mean
AASKK02,S0017,Confidence Intervals and tests,What is t - test of mean
AASKK02,S0017,Confidence Intervals and tests,What is the significance of  t - test of mean
AASKK02,S0017,Confidence Intervals and tests,What is z - test of Proportion
AASKK02,S0017,Confidence Intervals and tests,What is the significance of  z - test of Proportion
AASKK02,S0018,Test of variance and Proportion,When to do Test of variance
AASKK02,S0018,Test of variance and Proportion,What are the different types of variance tests
AASKK02,S0018,Test of variance and Proportion,What is Chi Square test
AASKK02,S0018,Test of variance and Proportion,When to do Chi Square test
AASKK02,S0018,Test of variance and Proportion,What is F - ratio test
AASKK02,S0018,Test of variance and Proportion,When to do F - ratio test
AASKK02,S0018,Test of variance and Proportion,What is ANOVA
AASKK02,S0018,Test of variance and Proportion,When to do ANOVA test
AASKK02,S0018,Test of variance and Proportion,What are One Sample Testing
AASKK02,S0018,Test of variance and Proportion,When to do One Sample Testing
AASKK02,S0018,Test of variance and Proportion,What are Two Sample Testing
AASKK02,S0018,Test of variance and Proportion,When to do Two Sample Testing
AASKK02,S0018,Test of variance and Proportion,What are tests for Proportion and variance
AASKK02,S0019,Scaling and Normalization,What are Scaling
AASKK02,S0019,Scaling and Normalization,When to do Scaling
AASKK02,S0019,Scaling and Normalization,What are Normalization
AASKK02,S0019,Scaling and Normalization,When to do Normalization
AASKK02,S0019,Scaling and Normalization,What are the pros and cons of Scaling and Normalization
AASKK02,S0020,Exploratory Data analysis,How to do Exploratory Data analysis
AASKK02,S0020,Exploratory Data analysis,What are the differeny Data types
AASKK02,S0020,Exploratory Data analysis,What are Variables
AASKK02,S0020,Exploratory Data analysis,How to define Variables
AASKK02,S0021,Data Preprocessing,How to do Encoding of Categorical Data
AASKK02,S0021,Data Preprocessing,What are the different kind of Encoding
AASKK02,S0021,Data Preprocessing,What is Data Preprocessing
AASKK02,S0021,Data Preprocessing,What are the different methods to do Data Preprocessing
